h,k,l,Incident_Theta,Incident_Psi,Reflected_Theta,Reflected_Psi,IncidentX,IncidentY,IncidentZ,ReflectedX,ReflectedY,ReflectedZ,thetaDifferencex,thetaDifferencey,thetaDifferencez,DetectorPointX,DetectorPointY
2,0,2,-21.0632333974903,90.4,0.428638816368464,68.9373043434295,0.933161611009457,-0.359389301096858,-0.0069812602979615,0.933161611009457,0.00698126029796148,0.359389301096858,0,0.366370561394819,0.366370561394819,19.7,20.7
2,0,4,-64.4203404840123,90.4,-51.1268524969221,43.4679038132721,0.431755041620381,-0.901963882891125,-0.0069812602979615,0.431755041620381,-0.535593321496306,0.725759862491677,0,0.366370561394819,0.732741122789638,11.8,54.2
4,0,2,-27.031716092897,90.4,17.34900656004,68.9373043434295,0.890733374064818,-0.454472571594543,-0.0069812602979615,0.890733374064818,0.278268551195095,0.359389301096858,0,0.732741122789638,0.366370561394819,48.9,26.9
1,1,1,-10.9157548814089,90.4,4.06052336252741,79.8512677346843,0.981882750765447,-0.189360834794132,-0.0069812602979615,0.981882750765447,0.0697022735952666,0.176204020399448,1.11022302462516e-16,0.259063108389399,0.183185280697409,13.4,9.3
1,1,3,-44.237251206499,90.4,-31.4718587102591,57.1409256364511,0.716439730389266,-0.697614058577096,-0.0069812602979615,0.716439730389266,-0.438550950187697,0.542574581794267,0,0.259063108389399,0.549555842092229,11.3,33.1
3,1,1,-18.4456857482143,90.4,15.4895998373015,79.8512677346843,0.948600904688574,-0.316397828103594,-0.0069812602979615,0.948600904688574,0.262884892717498,0.176204020399448,0,0.579282720821092,0.18318528069741,33.6,10.8
3,1,3,-32.936473652149,90.4,2.42807724419562,57.1409256364511,0.839253465039119,-0.543695579736018,-0.0069812602979615,0.839253465039119,0.0355871410850739,0.542574581794267,0,0.579282720821092,0.549555842092229,35.5,39.6
2,2,2,-22.5610428954294,90.4,8.28489883699418,68.9373043434295,0.923448793166162,-0.383658166086182,-0.0069812602979615,0.923448793166162,0.134468050692616,0.359389301096858,0,0.518126216778798,0.366370561394819,29.9,22.4
2,2,4,-50.1151764620081,90.4,-21.2367346827623,43.4679038132721,0.641230776231306,-0.767316332172363,-0.0069812602979615,0.641230776231306,-0.249190115393565,0.725759862491677,0,0.518126216778798,0.732741122789639,27.6,60.2
