h,k,l,Incident_Theta,Incident_Psi,Reflected_Theta,Reflected_Psi,IncidentXYZ_1,IncidentXYZ_2,IncidentXYZ_3,ReflectedXYZ_1,ReflectedXYZ_2,ReflectedXYZ_3,Intensity
0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76864.7016209855
0,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6046.18004608276
0,0,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1249.91329018354
0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.617039375761
0,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215.366071602142
0,1,0,-11.204198919489,90.1,11.204198919489,90.1,0.980939424198302,-0.194305944022307,-0.00174532836589814,0.980939424198302,0.194305944022307,-0.00174532836589814,2927.03880750416
0,1,1,-12.3191632230293,90.1,10.169884024442,83.0100220003242,0.976972781343915,-0.213356833361462,-0.00174532836589814,0.976972781343915,0.175255054683152,0.12169572844246,14573.7930522901
0,1,2,-15.7606121732737,90.1,6.93109415540706,75.810082547095,0.962403478634291,-0.271618294931529,-0.00174532836589814,0.962403478634291,0.116993593113085,0.245136785250818,3002.77232209865
0,1,3,-21.6595610966217,90.1,1.20330134376064,68.372064171827,0.929391888852611,-0.369090328732508,-0.00174532836589814,0.929391888852611,0.0195215593121063,0.368577842059177,4860.80571712371
0,1,4,-30.3827261093582,90.1,-7.73418673766312,60.5266354701292,0.862664878321068,-0.505772934764399,-0.00174532836589814,0.862664878321068,-0.117161046719784,0.492018898867535,869.677928931671
0,1,5,-42.974057885453,90.1,-21.8277127004243,52.0146509070555,0.731661304279025,-0.6816661130272,-0.00174532836589814,0.731661304279024,-0.293054224982586,0.615459955675893,1487.35872001259
0,1,6,-63.7368527837409,90.1,-48.9513034734072,42.3621173423634,0.442493803018275,-0.896769863520914,-0.00174532836589814,0.442493803018275,-0.5081579754763,0.738901012484251,303.574170425785
0,2,0,-22.8681913655534,90.1,22.8681913655534,90.1,0.921399888375995,-0.388611888044614,-0.00174532836589814,0.921399888375995,0.388611888044614,-0.00174532836589814,196.889134583804
0,2,1,-23.4618235587406,90.1,22.4529800790252,83.0100220003242,0.917324161966818,-0.398137332714192,-0.00174532836589814,0.917324161966818,0.379086443375036,0.12169572844246,1129.854549056
0,2,2,-25.2943503507123,90.1,21.159744002653,75.810082547095,0.904123307819524,-0.427268063499225,-0.00174532836589814,0.904123307819524,0.349955712590003,0.245136785250818,331.886066739591
0,2,3,-28.4247929865143,90.1,18.9069755995705,68.372064171827,0.879441339301103,-0.476004080399714,-0.00174532836589814,0.879441339301103,0.301219695689514,0.368577842059177,823.119794629105
0,2,4,-32.9799973988915,90.1,15.5153537078758,60.5266354701292,0.83885937878941,-0.54434538341566,-0.00174532836589814,0.83885937878941,0.232878392673568,0.492018898867535,217.323146015227
0,2,5,-39.2194944930951,90.1,10.5960955907563,52.0146509070555,0.774728220269174,-0.632291972547061,-0.00174532836589814,0.774728220269174,0.144931803542167,0.615459955675893,503.854774083168
0,2,6,-47.7182114636456,90.1,3.18012419019466,42.3621173423634,0.672776363073485,-0.739843847793918,-0.00174532836589814,0.672776363073485,0.0373799282953104,0.738901012484251,128.429841867616
0,2,7,-60.1121376011565,90.1,-10.2131767300433,30.4194238250315,0.498303325245751,-0.867001009156231,-0.00174532836589814,0.498303325245751,-0.0897772330670026,0.86234206929261,294.985742199261
0,3,0,-35.6560927932786,90.1,35.6560927932786,90.1,0.812529233250901,-0.582917832066921,-0.00174532836589814,0.8125292332509,0.582917832066921,-0.00174532836589814,778.524194111905
0,3,2,-37.494808575772,90.1,35.0773262775077,75.810082547095,0.793407286922714,-0.608688615703328,-0.00174532836589814,0.793407286922714,0.557147048430514,0.245136785250818,1448.32040716373
0,3,4,-43.3726976385519,90.1,33.388608843614,60.5266354701292,0.726900889594617,-0.686740162314285,-0.00174532836589814,0.726900889594617,0.479095501819557,0.492018898867535,1193.07414625657
0,3,6,-54.7929253288877,90.1,31.1711103880594,42.3621173423634,0.576532331697418,-0.81707247189979,-0.00174532836589814,0.576532331697418,0.348763192234052,0.738901012484252,928.431506733891
0,3,8,-88.5665762708376,90.1,81.4379403841202,9.67287461121711,0.0250153158468765,-0.999685544459845,-0.00174532836589814,0.0250153158468765,0.166150119673998,0.985783126100968,753.02120899512
0,4,0,-51.0071928808001,90.1,51.0071928808001,90.1,0.629221865251436,-0.777223776089228,-0.00174532836589814,0.629221865251436,0.777223776089228,-0.00174532836589814,23.0135721435889
0,4,1,-51.4429283718694,90.1,51.1002053258503,83.0100220003242,0.623292924804574,-0.781986498424017,-0.00174532836589814,0.623292924804574,0.772461053754439,0.12169572844246,137.595043677089
0,4,2,-52.8021947553034,90.1,51.4208995255691,75.810082547095,0.604567681967289,-0.796551863816534,-0.00174532836589814,0.604567681967289,0.757895688361923,0.245136785250819,45.4340243036035
0,4,3,-55.1771082349737,90.1,52.0997562045728,68.372064171827,0.571040731600113,-0.820919872266778,-0.00174532836589814,0.571040731600113,0.733527679911678,0.368577842059177,134.682635412323
0,4,4,-58.7698808214204,90.1,53.4482164622078,60.5266354701292,0.518475794979396,-0.855090523774751,-0.00174532836589814,0.518475794979396,0.699357028403705,0.492018898867535,44.4971638578609
0,4,5,-64.0354610968027,90.1,56.2560014291513,52.0146509070555,0.437814120809257,-0.899063818340451,-0.00174532836589814,0.437814120809257,0.655383733838005,0.615459955675893,133.747056819115
0,4,6,-72.333901230414,90.1,63.2322642641556,42.3621173423634,0.303468867074678,-0.95283975596388,-0.00174532836589814,0.303468867074678,0.601607796214576,0.738901012484252,45.6155246519663
0,5,0,-76.2956654354449,90.1,76.2956654354449,90.1,0.236911284595938,-0.971529720111535,-0.00174532836589814,0.236911284595938,0.971529720111535,-0.00174532836589814,42.8594944985413
0,5,1,-77.2497567456031,90.1,77.152673678202,83.0100220003242,0.220701239775619,-0.975339897979366,-0.00174532836589814,0.220701239775619,0.967719542243704,0.12169572844246,266.003488648892
0,5,2,-80.7490472764958,90.1,80.4552376785899,75.810082547095,0.160758732667227,-0.986992190293379,-0.00174532836589814,0.160758732667227,0.956067249929691,0.245136785250818,99.9156821316638
1,0,0,-11.204198919489,90.1,11.204198919489,90.1,0.980939424198302,-0.194305944022307,-0.00174532836589814,0.980939424198302,0.194305944022307,-0.00174532836589814,2927.03880750417
1,0,1,-12.3191632230293,90.1,10.169884024442,83.0100220003242,0.976972781343915,-0.213356833361462,-0.00174532836589814,0.976972781343915,0.175255054683152,0.12169572844246,14573.7930522901
1,0,2,-15.7606121732737,90.1,6.93109415540706,75.810082547095,0.962403478634291,-0.271618294931529,-0.00174532836589814,0.962403478634291,0.116993593113085,0.245136785250818,3002.77232209867
1,0,3,-21.6595610966217,90.1,1.20330134376065,68.372064171827,0.929391888852611,-0.369090328732508,-0.00174532836589814,0.929391888852611,0.0195215593121064,0.368577842059177,4860.80571712371
1,0,4,-30.3827261093582,90.1,-7.73418673766312,60.5266354701292,0.862664878321068,-0.505772934764399,-0.00174532836589814,0.862664878321068,-0.117161046719784,0.492018898867535,869.677928931675
1,0,5,-42.974057885453,90.1,-21.8277127004243,52.0146509070555,0.731661304279025,-0.6816661130272,-0.00174532836589814,0.731661304279024,-0.293054224982586,0.615459955675893,1487.35872001259
1,0,6,-63.7368527837409,90.1,-48.9513034734072,42.3621173423634,0.442493803018275,-0.896769863520914,-0.00174532836589814,0.442493803018275,-0.5081579754763,0.738901012484251,303.574170425788
1,1,0,-19.6667155742805,90.1,19.6667155742805,90.1,0.941664778029685,-0.33654776725927,-0.00174532836589814,0.941664778029685,0.33654776725927,-0.00174532836589814,5347.41151505122
1,1,2,-22.4070821994071,90.1,17.523588984405,75.810082547095,0.924497515225429,-0.381184073868392,-0.00174532836589814,0.924497515225429,0.291911460650148,0.245136785250818,8449.48515462186
1,1,4,-31.0893463594521,90.1,10.3708974103579,60.5266354701292,0.856361810260044,-0.516373318207899,-0.00174532836589814,0.856361810260044,0.156722216310641,0.492018898867535,4890.46025323572
1,1,6,-47.912033514037,90.1,-5.87922041502959,42.3621173423634,0.670269750232203,-0.74211550027779,-0.00174532836589814,0.670269750232203,-0.0690199657592505,0.738901012484251,2611.41312876733
1,2,0,-30.9363807787475,90.1,30.9363807787475,90.1,0.857737345958596,-0.514085206144662,-0.00174532836589814,0.857737345958596,0.514085206144661,-0.00174532836589814,148.827123784213
1,2,1,-31.4185909913283,90.1,30.7091549404599,83.0100220003242,0.853380398487177,-0.521285765494093,-0.00174532836589814,0.853380398487177,0.506884646795231,0.12169572844246,871.402878767691
1,2,2,-32.9090699661475,90.1,30.0081642800724,75.810082547095,0.839532590396887,-0.543306528113171,-0.00174532836589814,0.839532590396888,0.484863884176153,0.245136785250819,270.509498399108
1,2,3,-35.4609794065832,90.1,28.8130973527512,68.372064171827,0.814509569638207,-0.580147494001895,-0.00174532836589814,0.814509569638207,0.448022918287428,0.368577842059177,725.541964181569
1,2,4,-39.1837599694787,90.1,27.0831014012928,60.5266354701292,0.77512242064369,-0.631808663160266,-0.00174532836589814,0.77512242064369,0.396361749129057,0.492018898867535,209.374998777262
1,2,5,-44.290058935385,90.1,24.7424839909543,52.0146509070555,0.715812810745245,-0.698290035588284,-0.00174532836589814,0.715812810745245,0.329880376701039,0.615459955675893,532.067977840153
1,2,6,-51.2233075391739,90.1,21.648600312208,42.3621173423634,0.626285776176877,-0.779591611285949,-0.00174532836589814,0.626285776176877,0.248578801003374,0.738901012484252,148.743144548372
1,2,7,-61.1296761561514,90.1,17.5239474009392,30.4194238250315,0.482828139155161,-0.875713390253261,-0.00174532836589814,0.482828139155161,0.152457022036062,0.86234206929261,375.55456359371
1,2,8,-80.6297647850742,90.1,14.3047853636273,9.6728746112173,0.162813174421121,-0.986655372490219,-0.00174532836589814,0.162813174421121,0.0415150397991041,0.985783126100968,107.368412564568
1,3,0,-44.4736452580112,90.1,44.4736452580112,90.1,0.713571689010779,-0.700580044299864,-0.00174532836589814,0.71357168901078,0.700580044299863,-0.00174532836589814,55.9532337800189
1,3,1,-44.8994592492908,90.1,44.4673574798509,83.0100220003242,0.708345420751237,-0.705863810327211,-0.00174532836589814,0.708345420751237,0.695296278272516,0.12169572844246,332.545597807121
1,3,2,-46.2218172583547,90.1,44.468023926349,75.810082547095,0.691867235903566,-0.722022632409853,-0.00174532836589814,0.691867235903566,0.679137456189874,0.245136785250819,107.86967336537
1,3,3,-48.5088145585761,90.1,44.5467263061886,68.372064171827,0.662503809675735,-0.749056510547791,-0.00174532836589814,0.662503809675735,0.652103578051936,0.368577842059177,310.530873549134
1,3,4,-51.9029363476897,90.1,44.8696986020684,60.5266354701292,0.61699460501082,-0.786965444741024,-0.00174532836589814,0.616994605010821,0.614194643858704,0.492018898867535,98.5440121801352
1,3,5,-56.6940881343839,90.1,45.8380244932392,52.0146509070555,0.549108218608628,-0.835749434989551,-0.00174532836589814,0.549108218608628,0.565410653610176,0.615459955675893,281.547914570524
1,3,6,-63.5611217203713,90.1,48.6406831901517,42.3621173423634,0.445242187418026,-0.895408481293374,-0.00174532836589814,0.445242187418026,0.505751607306353,0.738901012484251,90.3241861142487
1,3,7,-75.0040358621895,90.1,59.2671739028515,30.4194238250315,0.258750611430472,-0.965942583652492,-0.00174532836589814,0.258750611430472,0.435217504947235,0.86234206929261,266.706084977938
1,4,0,-62.9264557082732,90.1,62.9264557082732,90.1,0.455133119316203,-0.890421696462074,-0.00174532836589814,0.455133119316203,0.890421696462074,-0.00174532836589814,776.188881078038
1,4,2,-65.1340428117957,90.1,64.2954958160963,75.810082547095,0.420496170125207,-0.907292634566669,-0.00174532836589814,0.420496170125207,0.873550758357479,0.245136785250818,1593.43229852958
1,4,4,-73.4136935223378,90.1,70.8590388277735,60.5266354701292,0.285458888199457,-0.958389366059967,-0.00174532836589814,0.285458888199457,0.822454026864182,0.492018898867535,1770.74951448033
2,0,0,-22.8681913655534,90.1,22.8681913655534,90.1,0.921399888375995,-0.388611888044614,-0.00174532836589814,0.921399888375995,0.388611888044614,-0.00174532836589814,196.889134583804
2,0,1,-23.4618235587406,90.1,22.4529800790252,83.0100220003242,0.917324161966818,-0.398137332714192,-0.00174532836589814,0.917324161966818,0.379086443375037,0.12169572844246,1129.854549056
2,0,2,-25.2943503507123,90.1,21.1597440026531,75.810082547095,0.904123307819524,-0.427268063499225,-0.00174532836589814,0.904123307819524,0.349955712590003,0.245136785250819,331.886066739591
2,0,3,-28.4247929865143,90.1,18.9069755995705,68.372064171827,0.879441339301103,-0.476004080399714,-0.00174532836589814,0.879441339301103,0.301219695689514,0.368577842059177,823.119794629106
2,0,4,-32.9799973988915,90.1,15.5153537078758,60.5266354701292,0.838859378789409,-0.54434538341566,-0.00174532836589814,0.838859378789409,0.232878392673568,0.492018898867535,217.323146015224
2,0,5,-39.2194944930951,90.1,10.5960955907563,52.0146509070555,0.774728220269175,-0.632291972547061,-0.00174532836589814,0.774728220269174,0.144931803542167,0.615459955675893,503.854774083167
2,0,6,-47.7182114636456,90.1,3.18012419019467,42.3621173423634,0.672776363073485,-0.739843847793918,-0.00174532836589814,0.672776363073485,0.0373799282953104,0.738901012484251,128.429841867615
2,0,7,-60.1121376011565,90.1,-10.2131767300433,30.4194238250315,0.498303325245751,-0.867001009156231,-0.00174532836589814,0.498303325245751,-0.0897772330670026,0.86234206929261,294.985742199262
2,1,0,-30.9363807787475,90.1,30.9363807787475,90.1,0.857737345958596,-0.514085206144662,-0.00174532836589814,0.857737345958596,0.514085206144662,-0.00174532836589814,148.827123784213
2,1,1,-31.4185909913283,90.1,30.7091549404599,83.0100220003242,0.853380398487177,-0.521285765494093,-0.00174532836589814,0.853380398487177,0.506884646795231,0.12169572844246,871.40287876769
2,1,2,-32.9090699661475,90.1,30.0081642800724,75.810082547095,0.839532590396887,-0.543306528113171,-0.00174532836589814,0.839532590396888,0.484863884176153,0.245136785250819,270.509498399109
2,1,3,-35.4609794065832,90.1,28.8130973527512,68.372064171827,0.814509569638207,-0.580147494001895,-0.00174532836589814,0.814509569638207,0.448022918287428,0.368577842059177,725.541964181568
2,1,4,-39.1837599694787,90.1,27.0831014012928,60.5266354701292,0.77512242064369,-0.631808663160266,-0.00174532836589814,0.77512242064369,0.396361749129057,0.492018898867535,209.374998777263
2,1,5,-44.290058935385,90.1,24.7424839909543,52.0146509070555,0.715812810745245,-0.698290035588284,-0.00174532836589814,0.715812810745245,0.329880376701039,0.615459955675893,532.067977840153
2,1,6,-51.2233075391739,90.1,21.648600312208,42.3621173423634,0.626285776176877,-0.779591611285949,-0.00174532836589814,0.626285776176877,0.248578801003374,0.738901012484252,148.743144548374
2,1,7,-61.1296761561514,90.1,17.5239474009392,30.4194238250315,0.482828139155161,-0.875713390253261,-0.00174532836589814,0.482828139155161,0.152457022036063,0.86234206929261,375.554563593709
2,1,8,-80.6297647850742,90.1,14.3047853636273,9.67287461121726,0.162813174421121,-0.986655372490219,-0.00174532836589814,0.162813174421121,0.0415150397991041,0.985783126100968,107.368412564569
2,2,0,-42.3065110041726,90.1,42.3065110041726,90.1,0.739553483691407,-0.67309553451854,-0.00174532836589814,0.739553483691407,0.67309553451854,-0.00174532836589814,497.480557471152
2,2,2,-44.0602764039599,90.1,42.1642695572668,75.810082547095,0.718607512218715,-0.695413687823101,-0.00174532836589814,0.718607512218715,0.650777381213979,0.245136785250818,951.046602553122
2,2,4,-49.7302294574767,90.1,42.0574139860115,60.5266354701292,0.646386318474288,-0.763008309992854,-0.00174532836589814,0.646386318474288,0.583182759044225,0.492018898867535,847.678444098052
2,2,6,-61.1493823078916,90.1,44.2655166729123,42.3621173423634,0.482526920165162,-0.8758794010278,-0.00174532836589814,0.482526920165162,0.47031166800928,0.738901012484252,747.178345780621
2,3,0,-57.8826819894517,90.1,57.8826819894517,90.1,0.531653793425098,-0.846959974122507,-0.00174532836589814,0.531653793425098,0.846959974122507,-0.00174532836589814,44.8974607114139
2,3,1,-58.3568249568695,90.1,58.0921068130881,83.0100220003242,0.524626774072101,-0.851330547881136,-0.00174532836589814,0.524626774072101,0.842589400363878,0.12169572844246,269.931437616088
2,3,2,-59.8482342088478,90.1,58.7951504493121,75.810082547095,0.502291417360978,-0.864696643843605,-0.00174532836589814,0.502291417360979,0.82922330440141,0.245136785250819,90.6296380887735
2,3,3,-62.5060534368518,90.1,60.2235253954888,68.372064171827,0.461654192690642,-0.887058262009913,-0.00174532836589814,0.461654192690642,0.806861686235102,0.368577842059177,276.255329166074
2,3,4,-66.6957156136565,90.1,62.9721886058474,60.5266354701292,0.39561357724422,-0.91841540238006,-0.00174532836589814,0.39561357724422,0.775504545864955,0.492018898867535,94.9719155624922
