
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 1 4 71.695931 198.594100
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 360.682526
0 0 6 87.307790 307.903051
0 2 0 92.836501 51.870615
0 2 1 94.356332 304.415471
0 2 2 98.938732 96.654481
1 1 4 102.162390 1517.583700
0 1 6 102.439047 94.748595
0 2 3 106.722905 282.611897
0 2 4 118.232765 101.140739
0 1 7 124.024709 327.177517
0 0 8 133.969427 348.577652
0 2 5 135.341765 404.068844
1 1 6 137.743676 2277.741599
1 2 0 146.782874 182.083745
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 744.711521
0 1 1 44.670996 3665.613655
0 1 2 50.821657 731.574539
0 0 4 54.800065 1444.721851
0 1 3 60.041596 1135.875485
0 1 4 71.695931 198.594100
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 360.682526
0 0 6 87.307790 307.903051
0 2 0 92.836501 51.870615
0 2 1 94.356332 304.415471
0 2 2 98.938732 96.654481
1 1 4 102.162390 1517.583700
0 1 6 102.439047 94.748595
0 2 3 106.722905 282.611897
0 2 4 118.232765 101.140739
0 1 7 124.024709 327.177517
0 0 8 133.969427 348.577652
0 2 5 135.341765 404.068844
1 1 6 137.743676 2277.741599
1 2 0 146.782874 182.083745
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 744.711521
0 1 1 44.670996 3665.613655
0 1 2 50.821657 731.574539
0 0 4 54.800065 1444.721851
0 1 3 60.041596 1135.875485
0 1 4 71.695931 198.594100
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 360.682526
0 0 6 87.307790 307.903051
0 2 0 92.836501 51.870615
0 2 1 94.356332 304.415471
0 2 2 98.938732 96.654481
1 1 4 102.162390 1517.583700
0 1 6 102.439047 94.748595
0 2 3 106.722905 282.611897
0 2 4 118.232765 101.140739
0 1 7 124.024709 327.177517
0 0 8 133.969427 348.577652
0 2 5 135.341765 404.068844
1 1 6 137.743676 2277.741599
1 2 0 146.782874 182.083745
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 744.711521
0 1 1 44.670996 3665.613655
0 1 2 50.821657 731.574539
0 0 4 54.800065 1444.721851
0 1 3 60.041596 1135.875485
0 1 4 71.695931 198.594100
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 360.682526
0 0 6 87.307790 307.903051
0 2 0 92.836501 51.870615
0 2 1 94.356332 304.415471
0 2 2 98.938732 96.654481
1 1 4 102.162390 1517.583700
0 1 6 102.439047 94.748595
0 2 3 106.722905 282.611897
0 2 4 118.232765 101.140739
0 1 7 124.024709 327.177517
0 0 8 133.969427 348.577652
0 2 5 135.341765 404.068844
1 1 6 137.743676 2277.741599
1 2 0 146.782874 182.083745
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 10529.448209
0 1 0 42.470211 124.118587
0 1 1 44.670996 305.467805
0 1 2 50.821657 60.964545
0 0 4 54.800065 722.360926
0 1 3 60.041596 94.656290
0 1 4 71.695931 16.549508
1 1 0 77.708499 205.814044
1 1 2 83.857979 168.239213
0 1 5 85.652665 30.056877
0 0 6 87.307790 153.951526
0 2 0 92.836501 8.645103
0 2 1 94.356332 25.367956
0 2 2 98.938732 8.054540
1 1 4 102.162390 126.465308
0 1 6 102.439047 7.895716
0 2 3 106.722905 23.550991
0 2 4 118.232765 8.428395
0 1 7 124.024709 27.264793
